단지명,구,거래수
한신휴1차,영등포구,5
한신휴2차,영등포구,5
한신휴플러스(1280-0),구로구,11
한양,노원구,5
한양1차(영동한양),강남구,6
한양2,도봉구,28
한양3,송파구,5
한양5,도봉구,8
한양6,도봉구,13
한양7,도봉구,8
한양I-Class,중구,7
한양수자인사가정파크,중랑구,9
한양수자인에듀힐즈,구로구,13
한양아파트,송파구,9
한일시티타워(우성아트빌),강동구,16
한일써너스빌,중랑구,6
한일유앤아이,구로구,10
한일유앤아이,노원구,5
한일휴니스빌,노원구,5
한진,강북구,5
한진,구로구,32
한진(609-1),성북구,49
한진한화그랑빌,노원구,38
한진해모로,중구,5
한화꿈에그린,노원구,6
한화성원아파트,도봉구,6
한화오벨리스크,마포구,28
항동제일풍경채포레스트,구로구,9
항동중흥에스클래스베르데카운티,구로구,10
해모로,마포구,5
해모로아파트,강북구,9
해태,양천구,7
해태보라매타워,동작구,5
행당두산위브,성동구,6
행당한진타운,성동구,19
헬리오시티,송파구,92
현대,강서구,9
현대,구로구,44
현대,노원구,25
현대,동대문구,18
현대,동작구,13
현대,마포구,6
현대,성동구,16
현대,송파구,17
현대,종로구,8
현대,중구,11
현대,중랑구,11
"현대(1,2차)",서대문구,10
현대(3차),노원구,5
현대(6차),노원구,6
현대(고덕),강동구,7
현대(관악),관악구,20
현대(관악),동작구,8
현대1,강서구,5
현대1,도봉구,7
현대1,송파구,15
현대1,영등포구,16
현대1,은평구,14
현대1(4차),노원구,6
"현대14차(203,204,205,206동)",강남구,6
현대1차,송파구,6
현대1차,영등포구,6
현대2,도봉구,6
현대2,영등포구,12
현대2,은평구,5
현대2(4차),노원구,5
현대2차,노원구,6
현대2차,영등포구,13
현대3,광진구,10
현대3차,송파구,7
현대3차,영등포구,33
현대5,광진구,5
현대8차(성수현대:91~95동),강남구,6
현대I-PARK,성동구,7
현대그린,노원구,5
현대그린,서대문구,9
현대뜨레비앙,종로구,5
현대리버빌1지구,송파구,14
현대리버빌2지구,송파구,8
현대맨숀,용산구,6
현대백조,송파구,10
현대비젼21,강남구,5
현대상선,구로구,11
현대아이파크,중랑구,7
현대연예인,구로구,21
현대조합,도봉구,9
현대파크빌,광진구,10
현대프라임,광진구,26
현대홈타운,강동구,5
현대홈타운,구로구,26
현대홈타운,마포구,5
현대홈타운스위트,구로구,5
현대홈타운아파트,구로구,5
현대힐스테이트2단지,강남구,7
홍은동벽산,서대문구,21
홍은미성,서대문구,7
홍은센트레빌,서대문구,9
홍제비콘드림힐,서대문구,5
홍제삼성래미안,서대문구,15
홍제센트럴IPARK,서대문구,12
홍제에스피엘,서대문구,8
홍제역해링턴플레이스,서대문구,17
홍제원현대(459-0),서대문구,19
홍제한양,서대문구,19
홍제현대,서대문구,18
화곡푸르지오,강서구,27
화랑타운아파트,노원구,11
화성.두산아파트,중랑구,16
화양현대,광진구,7
효창파크푸르지오,용산구,5
후암미주,용산구,7
휘경SK뷰,동대문구,9
휘경미소지움,동대문구,6
휘경베스트빌현대,동대문구,9
휘경해모로프레스티지,동대문구,7
흑석동양아파트,동작구,10
흑석리버파크자이,동작구,27
흑석한강센트레빌,동작구,9
흑석한강센트레빌Ⅱ,동작구,6
힐스테이트 상도 센트럴파크,동작구,20
힐스테이트 상도 프레스티지,동작구,5
힐스테이트e편한세상문정,송파구,13
힐스테이트남산,중구,7
힐스테이트녹번,은평구,14
힐스테이트녹번역,은평구,5
힐스테이트뉴포레,관악구,23
힐스테이트리슈빌강일,강동구,6
힐스테이트세운센트럴2단지,중구,6
힐스테이트송파위례,송파구,7
힐스테이트신촌,서대문구,10
힐스테이트청계,동대문구,12
힐스테이트클래시안,영등포구,17
힐스테이트홍은포레스트,서대문구,13
